#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
2746961	8446000	12670000	10324338	11
2748958	5745	18000	11490	155
2749961	1725000	2588000	2156377	15
2749962	1812000	2719000	2240067	5
2750947	1660000	2491000	2075540	5
2750967	1789000	2685000	2236827	4
2754717	850000	2552000	1700913	11
2759747	1703000	2556000	2162781	5
2759748	1504000	2258000	1894357	6
2759752	1883000	2826000	2354455	5
2759855	1379000	2070000	1728351	6
2763006	6768000	10153000	8460398	8
2766470	1551000	2327000	1951456	4
2774015	3439000	5159000	4321692	7
2774191	2635000	3953000	3294005	6
2775159	4329000	6495000	5411862	4
2778550	3722000	5584000	4652926	6
2781243	2408000	3614000	3011088	117
2782701	7113000	10671000	8964228	5
2792013	5211000	7818000	6514234	5
2793075	6996000	10495000	8745694	7
2793076	7196000	10795000	8995623	6
2801452	2197000	3296000	2750344	4
2804917	2002000	3004000	2503318	4
2813651	31916000	47875000	39895394	20
2816244	4468000	6704000	5586227	4
2828363	2067000	3101000	2572663	22
2834768	3200000	4802000	4000892	6
2838249	2251000	3378000	2821772	13
2841257	2333000	3501000	2917123	4
2843635	134000	202000	167323	4
2843652	183000	276000	229516	4
2843957	134000	202000	167684	4
2844035	142000	214000	178607	9
2844198	134000	202000	167832	8
2844202	134000	203000	168302	6
2844252	133000	201000	168524	25
2844259	133000	201000	166978	8
2844522	1732	2599	2166	9
2844576	1770	2655	2213	4
2844581	1804	2707	2256	4
2844582	1759	2638	2199	7
2844603	1708	2563	2136	4
2845093	47000	71000	59100	5
2846023	3372	5058	4217	10
2846060	37000	57000	46621	4
2846062	37000	57000	46712	4
2846199	136000	205000	169455	4
2846401	105000	159000	131372	4
2846680	135000	204000	169488	6
2851959	3009000	4515000	3762072	6
2854755	3347000	5021000	4183961	11
2867405	58237000	174714000	116475897	7
2875764	1784000	2678000	2230128	8
2883169	2025000	3038000	2531463	6
2888272	2062000	3094000	2577907	5
2890315	3602000	5405000	4503344	4
2890316	3693000	5541000	4611536	10
2890317	3942000	5914000	4847790	9
2890318	3632000	5449000	4540093	5
2890319	3449000	5174000	4363358	4
2906076	2519000	3779000	3149146	6
2917790	1858000	2789000	2323678	7
2946699	1917000	2876000	2411625	16
139	943000	1632000	1279319	146
140	688000	2067000	1377933	11
142	717000	2154000	1435362	4
158	2253000	3380000	2816290	18
159	2429000	3645000	3038284	58
160	910000	1366000	1139057	292
162	2117000	4384000	3250767	15
164	1779000	2669000	2224027	5
172	3103000	4655000	3879078	7
173	3695000	5544000	4620608	354
174	3137000	4707000	3921759	114
192	5680000	8521000	7134170	33
195	1370000	2600000	1985000	22147
196	1370000	2600000	1985000	204
197	1370000	2600000	1985000	51296
198	1370000	2600000	1985000	47
199	1370000	2600000	1985000	238
200	1370000	2600000	1985000	16
201	1370000	2600000	1985000	487
483	1498000	2248000	1869103	8
485	1950000	2500000	2225000	1068
486	1950000	2500000	2225000	36
487	1950000	2500000	2225000	3604
488	1685000	3349000	2516931	10
489	1950000	2500000	2225000	3
490	1921000	3122000	2525260	16
495	1921000	2883000	2397678	12
498	2655000	3983000	3336711	19
502	1762000	2644000	2203197	4
504	1530000	2297000	1917257	47
511	3339000	5009000	4192320	40
518	4159000	6240000	5199729	97
519	3819000	5729000	4773908	94
520	3284000	4927000	4105455	1071
521	2983000	4476000	3729395	26
529	3927000	5891000	4912846	37
536	3807000	5712000	4758994	29
539	1791000	2688000	2239719	21
